target,arrival_rate_rps,requests_sec,latency_avg,latency_stdev,latency_max,p50,p90,p99,socket_errors,non_2xx_3xx,wrk_output
recommendations,1000,996.89,0.87ms,180.01us,1.63ms,828.00us,1.05ms,1.63ms,"none",0,/users/sabd/DeathStarBench/hotelReservation/results/client_load_sweeps/20260331T192714Z_recommendations/logs/wrk_recommendations_1000.log
recommendations,2000,2002.08,0.87ms,213.26us,1.76ms,824.00us,1.07ms,1.76ms,"none",0,/users/sabd/DeathStarBench/hotelReservation/results/client_load_sweeps/20260331T192714Z_recommendations/logs/wrk_recommendations_2000.log
recommendations,3000,3003.60,0.90ms,251.58us,1.88ms,832.00us,1.21ms,1.88ms,"none",0,/users/sabd/DeathStarBench/hotelReservation/results/client_load_sweeps/20260331T192714Z_recommendations/logs/wrk_recommendations_3000.log
recommendations,4000,3996.01,0.95ms,294.19us,2.04ms,0.86ms,1.36ms,2.04ms,"none",0,/users/sabd/DeathStarBench/hotelReservation/results/client_load_sweeps/20260331T192714Z_recommendations/logs/wrk_recommendations_4000.log
recommendations,5000,5003.64,1.01ms,342.04us,2.23ms,0.89ms,1.50ms,2.23ms,"none",0,/users/sabd/DeathStarBench/hotelReservation/results/client_load_sweeps/20260331T192714Z_recommendations/logs/wrk_recommendations_5000.log
recommendations,6000,6005.14,1.08ms,390.43us,2.44ms,0.94ms,1.62ms,2.44ms,"none",0,/users/sabd/DeathStarBench/hotelReservation/results/client_load_sweeps/20260331T192714Z_recommendations/logs/wrk_recommendations_6000.log
recommendations,7000,6998.98,1.16ms,441.67us,2.67ms,0.99ms,1.76ms,2.67ms,"none",0,/users/sabd/DeathStarBench/hotelReservation/results/client_load_sweeps/20260331T192714Z_recommendations/logs/wrk_recommendations_7000.log
recommendations,8000,8000.23,1.24ms,497.00us,2.92ms,1.06ms,1.91ms,2.92ms,"none",0,/users/sabd/DeathStarBench/hotelReservation/results/client_load_sweeps/20260331T192714Z_recommendations/logs/wrk_recommendations_8000.log
recommendations,9000,9003.81,1.34ms,558.70us,3.24ms,1.17ms,2.08ms,3.24ms,"none",0,/users/sabd/DeathStarBench/hotelReservation/results/client_load_sweeps/20260331T192714Z_recommendations/logs/wrk_recommendations_9000.log
recommendations,10000,10003.47,1.45ms,618.85us,3.54ms,1.30ms,2.25ms,3.54ms,"none",0,/users/sabd/DeathStarBench/hotelReservation/results/client_load_sweeps/20260331T192714Z_recommendations/logs/wrk_recommendations_10000.log
recommendations,11000,11005.03,1.60ms,705.68us,4.00ms,1.46ms,2.49ms,4.00ms,"none",0,/users/sabd/DeathStarBench/hotelReservation/results/client_load_sweeps/20260331T192714Z_recommendations/logs/wrk_recommendations_11000.log
recommendations,12000,11979.85,1.78ms,813.08us,4.57ms,1.63ms,2.79ms,4.57ms,"none",0,/users/sabd/DeathStarBench/hotelReservation/results/client_load_sweeps/20260331T192714Z_recommendations/logs/wrk_recommendations_12000.log
recommendations,13000,13006.51,2.03ms,0.98ms,5.46ms,1.84ms,3.20ms,5.46ms,"none",0,/users/sabd/DeathStarBench/hotelReservation/results/client_load_sweeps/20260331T192714Z_recommendations/logs/wrk_recommendations_13000.log
recommendations,14000,13949.86,2.36ms,1.18ms,6.57ms,2.12ms,3.78ms,6.57ms,"none",0,/users/sabd/DeathStarBench/hotelReservation/results/client_load_sweeps/20260331T192714Z_recommendations/logs/wrk_recommendations_14000.log
recommendations,15000,15007.61,2.80ms,1.46ms,8.09ms,2.46ms,4.59ms,8.09ms,"none",0,/users/sabd/DeathStarBench/hotelReservation/results/client_load_sweeps/20260331T192714Z_recommendations/logs/wrk_recommendations_15000.log
recommendations,16000,16004.88,3.48ms,1.99ms,10.77ms,2.97ms,5.89ms,10.77ms,"none",0,/users/sabd/DeathStarBench/hotelReservation/results/client_load_sweeps/20260331T192714Z_recommendations/logs/wrk_recommendations_16000.log
recommendations,17000,17003.01,4.61ms,2.87ms,15.26ms,3.79ms,8.11ms,15.26ms,"none",0,/users/sabd/DeathStarBench/hotelReservation/results/client_load_sweeps/20260331T192714Z_recommendations/logs/wrk_recommendations_17000.log
recommendations,18000,17965.27,6.09ms,4.19ms,21.73ms,4.81ms,11.10ms,21.73ms,"none",0,/users/sabd/DeathStarBench/hotelReservation/results/client_load_sweeps/20260331T192714Z_recommendations/logs/wrk_recommendations_18000.log
recommendations,19000,19001.59,9.20ms,6.77ms,34.53ms,7.06ms,17.68ms,34.53ms,"none",0,/users/sabd/DeathStarBench/hotelReservation/results/client_load_sweeps/20260331T192714Z_recommendations/logs/wrk_recommendations_19000.log
recommendations,20000,19998.68,17.03ms,14.23ms,69.89ms,12.55ms,35.26ms,69.89ms,"none",0,/users/sabd/DeathStarBench/hotelReservation/results/client_load_sweeps/20260331T192714Z_recommendations/logs/wrk_recommendations_20000.log
