Running for 60.0 seconds (120 samples at 0.5 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
09:43:17  63.9   0.0   5.9  30.2   0.0   39 150718 180918    2    1    1  97.03 
09:43:18  66.5   0.0   5.6  27.9   0.0   36 145928 198780    0    0    0  97.96 
09:43:18  64.5   0.0   5.3  30.3   0.0   28 161522 167608    0    0    0  97.70 
09:43:19  65.6   0.0   6.0  28.4   0.0   31 147096 169322    0    0    0  98.19 
09:43:19  67.4   0.0   5.3  27.4   0.0   43 143060 179012    0    0    0  98.34 
09:43:20  66.0   0.0   4.9  29.1   0.0   23 160030 189804    1    0    0  97.70 
09:43:20  67.8   0.0   5.0  27.2   0.0   34 138374 186772    0    0    0  98.01 
09:43:21  67.2   0.0   5.8  27.0   0.0   34 145968 188892    0    0    0  98.53 
09:43:21  67.5   0.0   5.8  26.7   0.0   20 145034 204624    0    0    0  98.89 
09:43:22  65.8   0.0   5.2  29.0   0.0   53 144758 173514    5    0    0  97.65 
09:43:22  64.5   0.0   6.6  28.8   0.1   40 160182 206000    0    0    0  97.53 
09:43:23  67.1   0.0   5.1  27.8   0.0   28 150672 176680    0    0    0  98.52 
09:43:23  67.0   0.0   5.2  27.7   0.0   39 147578 175182    0    0    0  98.54 
09:43:24  65.3   0.0   6.2  28.5   0.0   49 151374 205250    0    0    0  97.35 
09:43:24  65.2   0.0   6.0  28.9   0.0   23 156752 201414    0    0    0  98.02 
09:43:25  66.2   0.0   5.1  28.7   0.0   27 153350 176550    1    0    0  97.61 
09:43:25  67.4   0.0   5.5  27.1   0.0   38 145842 202440    0    0    0  98.36 
09:43:26  67.8   0.0   6.1  26.2   0.0   51 145506 177926    0    0    0  98.55 
09:43:26  67.5   0.0   5.3  27.2   0.0   35 157810 197230    0    0    0  98.28 
09:43:27  66.3   0.0   6.4  27.3   0.0   50 148322 196042    0    0    0  97.93 
09:43:27  66.7   0.0   5.9  27.4   0.0   44 140752 181484    0    0    0  98.28 
09:43:28  67.3   0.0   5.2  27.5   0.0   44 153316 180598    0    0    0  98.11 
09:43:28  67.1   0.0   4.7  28.2   0.0   35 154072 200104    0    0    0  98.12 
09:43:29  68.3   0.0   5.1  26.6   0.0   35 132070 149700    0    0    0  99.42 
09:43:29  68.1   0.0   4.8  27.0   0.0   36 143260 192886    0    0    0  99.31 
09:43:30  66.2   0.0   5.4  28.4   0.1   39 146272 196708    0    0    0  97.96 
09:43:30  65.2   0.0   5.0  29.9   0.0   44 151336 159670    0    0    0  97.34 
09:43:31  65.2   0.0   5.3  29.5   0.0   37 152160 205288    0    0    0  97.78 
09:43:31  67.3   0.0   6.0  26.8   0.0   33 142428 180060    0    0    0  98.53 
09:43:32  69.3   0.0   5.6  25.1   0.0   26 146048 180056    0    0    0  99.67 
