Running for 60.0 seconds (120 samples at 0.5 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
15:00:56  12.0   0.0   2.3  85.7   0.0    6 211068  97270    1    1    1  60.19 
15:00:56  10.9   0.0   2.5  86.6   0.0   15 209228  97096    0    0    0  59.82 
15:00:57  11.5   0.0   2.7  85.8   0.0    7 207136  96992    0    0    0  59.50 
15:00:57  11.4   0.0   2.5  86.1   0.0    7 210416  96796    0    0    0  59.99 
15:00:58  11.4   0.0   2.7  85.9   0.0    2 207666 102262    0    0    0  59.89 
15:00:58  11.5   0.0   2.4  86.1   0.0   15 208706  97244    0    0    0  60.17 
15:00:59  11.5   0.0   3.0  85.5   0.0    1 215190 103674    0    0    0  59.78 
15:00:59  11.9   0.0   2.5  85.3   0.3    6 212502 100204    0    0    0  60.29 
15:01:00  10.4   0.0   2.9  86.7   0.0    4 205078 101116    0    0    0  59.94 
15:01:00  13.2   0.0   3.1  83.8   0.0    7 211262 100400    0    0    0  60.43 
15:01:01  11.9   0.0   2.5  85.7   0.0    5 211892 101926    0    0    0  60.02 
15:01:01  12.3   0.0   2.3  85.5   0.0    2 210998  99976    0    0    0  60.32 
15:01:02  14.5   0.0   2.6  82.8   0.0    2 213120 100774    0    0    0  60.24 
15:01:02  10.8   0.0   2.3  86.9   0.0    1 209570  97570    0    0    0  59.93 
15:01:03  13.4   0.0   2.6  84.0   0.0    7 212914 101094    0    0    1  60.46 
15:01:03  12.7   0.0   3.1  84.1   0.0    5 208200  98564    0    0    0  58.41 
15:01:04  10.5   0.0   2.6  86.9   0.0   27 207526  97492    0    0    0  59.71 
15:01:04  12.4   0.0   2.4  85.3   0.0    2 209628  98498    0    0    0  60.14 
15:01:05  12.1   0.0   3.2  84.4   0.3    2 215168 105846    0    0    0  60.39 
15:01:05  12.2   0.0   3.1  84.7   0.0    1 208408  96194    0    0    0  58.91 
15:01:06  12.3   0.0   2.1  85.6   0.0    2 208744  97440    0    0    0  59.55 
15:01:06  11.4   0.0   2.5  86.1   0.0    1 215178  98334    0    0    0  59.72 
15:01:07  13.1   0.0   3.0  83.9   0.0    5 215836 103342    0    0    0  60.47 
15:01:07  11.8   0.0   2.7  85.5   0.0    4 213950 100886    0    0    0  59.95 
15:01:08  12.3   0.0   2.9  84.8   0.0    1 213108 102464    0    0    0  59.76 
15:01:08  11.5   0.0   2.4  86.0   0.0   10 213182  99792    0    0    0  60.13 
15:01:09   9.3   0.0   3.1  87.5   0.0    6 215996 102712    0    0    0  60.76 
15:01:09  11.1   0.0   2.4  86.5   0.0    4 209948 100128    0    0    0  60.17 
15:01:10  12.0   0.0   3.2  84.8   0.0    8 211558 101614    0    0    0  60.18 
15:01:10  11.9   0.0   2.5  85.6   0.0    8 208754 100106    0    0    0  60.15 
15:01:11  13.1   0.0   2.7  84.2   0.0    8 210272 103714    0    0    0  60.43 
15:01:11  13.3   0.0   2.9  83.9   0.0    4 210490 100892    0    0    0  59.89 
15:01:12  10.8   0.0   2.6  86.5   0.1    1 209552 102690    0    0    0  60.86 
15:01:12  11.1   0.0   2.7  86.2   0.0    5 212592  98496    0    0    0  60.41 
15:01:13  12.6   0.0   2.4  85.1   0.0    5 211160  99824    0    0    0  59.95 
15:01:13  12.4   0.0   2.7  84.9   0.0    4 210114 101108    0    0    0  60.50 
15:01:14  11.9   0.0   2.5  85.6   0.0    8 213670 104442    0    0    0  60.73 
15:01:14  12.2   0.0   2.6  85.1   0.0    7 206180  98104    0    0    0  60.20 
15:01:15   9.6   0.0   2.2  88.2   0.0    4 213606  98214    0    0    0  60.26 
15:01:15  11.0   0.0   2.5  86.5   0.0    7 212646 100066    0    0    0  60.11 
15:01:16  12.7   0.0   3.1  84.2   0.0    2 210140 100814    0    0    0  60.20 
15:01:16  10.2   0.0   2.5  87.3   0.0    5 207644  97930    0    0    0  59.92 
15:01:17  12.1   0.0   3.2  84.7   0.0   14 211758  99538    0    0    1  59.06 
15:01:17  11.2   0.0   2.3  86.4   0.0    8 208560  98024    0    0    0  59.80 
15:01:18  10.6   0.0   2.6  86.8   0.0    2 212330 102068    0    0    0  60.04 
15:01:18  12.1   0.0   3.1  84.8   0.0    7 206404  99652    0    0    0  59.31 
15:01:19  12.0   0.0   2.1  85.9   0.0    1 210908  99506    0    0    0  59.73 
15:01:19  12.4   0.0   2.7  84.8   0.0    3 207066  97984    0    0    0  59.47 
15:01:20  10.9   0.0   3.1  86.0   0.0    6 213884 102218    0    0    0  60.19 
15:01:20  11.2   0.0   2.4  86.4   0.0    1 209544 103826    0    0    0  60.73 
15:01:21  10.7   0.0   2.7  86.6   0.0    2 211736 100132    0    0    0  60.03 
15:01:21  13.5   0.0   2.5  84.0   0.0    9 214262 100010    1    0    0  60.65 
15:01:22  12.3   0.0   2.9  84.8   0.1    6 213438 102576    0    0    0  60.77 
15:01:22  11.9   0.0   2.8  85.3   0.0    2 209146  98942    0    0    0  60.38 
15:01:23  11.4   0.0   3.0  85.6   0.0    7 210182 100858    0    0    0  60.40 
15:01:23  12.3   0.0   2.8  84.9   0.0    3 206364 100024    0    0    0  59.77 
15:01:24  12.1   0.0   3.0  85.0   0.0    8 210998 101476    0    0    0  60.35 
15:01:24  11.7   0.0   2.7  85.7   0.0    1 207228  97858    0    0    0  60.19 
15:01:25  10.9   0.0   3.0  86.1   0.0    1 213734  98384    0    0    0  60.55 
15:01:25  13.3   0.0   2.9  83.8   0.0   11 210994  98314    0    0    0  60.18 
15:01:26  10.9   0.0   2.8  86.3   0.0    6 210638 101630    0    0    0  60.85 
15:01:26  11.9   0.0   2.6  85.5   0.0    4 206234  98224    0    0    0  60.00 
15:01:27  12.5   0.0   3.1  84.5   0.0   11 214402  99802    0    0    0  60.19 
15:01:27  11.6   0.0   2.9  85.5   0.0    5 205856  96948    0    0    0  57.81 
15:01:28   9.6   0.0   2.3  88.2   0.0    6 209396  97784    0    0    0  59.47 
15:01:28  11.6   0.0   2.8  85.5   0.0    1 212480  98822    0    0    0  60.03 
15:01:29  12.6   0.0   2.6  84.8   0.0   13 211088 102986    0    0    0  59.85 
15:01:29  13.6   0.0   3.2  83.2   0.0   14 210774  96872    0    0    0  60.18 
15:01:30  10.1   0.0   2.4  87.5   0.0    6 212972  99504    0    0    0  58.69 
15:01:30  12.7   0.0   2.6  84.8   0.0    5 210700  96774    0    0    0  60.16 
15:01:31  10.2   0.0   2.0  87.7   0.0    1 209330  97208    0    0    0  59.00 
15:01:31  11.3   0.0   2.3  86.4   0.0   10 209230  97814    0    0    0  58.89 
15:01:32  13.1   0.0   2.8  84.1   0.1    1 214942 104774    1    0    0  60.62 
15:01:32  12.4   0.0   2.8  84.8   0.0    9 211958 103510    0    0    0  59.80 
15:01:33  12.5   0.0   2.9  84.6   0.0    1 209146  99210    0    0    0  59.58 
15:01:33  13.7   0.0   2.8  83.5   0.0    5 206746 100348    0    0    0  59.66 
15:01:34  12.2   0.0   3.1  84.6   0.0    1 213438 102754    0    0    0  60.08 
15:01:34  10.6   0.0   2.6  86.8   0.0    8 207770 101346    0    0    0  60.52 
15:01:35  11.5   0.0   2.4  86.1   0.0    7 207630 102022    0    0    0  60.06 
15:01:35  13.2   0.0   2.6  84.2   0.0   13 207180 100270    0    0    0  61.67 
15:01:36  10.9   0.0   2.8  86.3   0.0    1 211890 102748    0    0    0  60.60 
