target,governor,arrival_rate_rps,requests_sec,avg_power_watts,latency_avg_ms,latency_stdev_ms,latency_max_ms,p50_ms,p90_ms,p95_ms,p99_ms,wrk_output,powerstat_output
hotels,performance,1000,1000.580000,72.79,4.320000,2.840000,24.610000,4.240000,8.190000,9.295000,11.620000,/tmp/hotelReservation-power-sweeps/20260514T224102Z/1000/performance/client/logs/wrk_hotels_client_1000.log,/tmp/hotelReservation-power-sweeps/20260514T224102Z/1000/performance/server/logs/powerstat_hotels_performance_1000.log
hotels,performance,3000,3002.270000,102.86,12.960000,9.770000,144.510000,11.310000,25.220000,31.023000,45.850000,/tmp/hotelReservation-power-sweeps/20260514T224102Z/3000/performance/client/logs/wrk_hotels_client_3000.log,/tmp/hotelReservation-power-sweeps/20260514T224102Z/3000/performance/server/logs/powerstat_hotels_performance_3000.log
hotels,performance,5000,3916.810000,106.94,8720.000000,3880.000000,18320.000000,8590.000000,14110.000000,15032.319000,16420.000000,/tmp/hotelReservation-power-sweeps/20260514T224102Z/5000/performance/client/logs/wrk_hotels_client_5000.log,/tmp/hotelReservation-power-sweeps/20260514T224102Z/5000/performance/server/logs/powerstat_hotels_performance_5000.log
hotels,performance,7000,3913.790000,106.98,17730.000000,7680.000000,33410.000000,17740.000000,28330.000000,29671.423000,31130.000000,/tmp/hotelReservation-power-sweeps/20260514T224102Z/7000/performance/client/logs/wrk_hotels_client_7000.log,/tmp/hotelReservation-power-sweeps/20260514T224102Z/7000/performance/server/logs/powerstat_hotels_performance_7000.log
hotels,performance,9000,3898.410000,106.90,22480.000000,9840.000000,41320.000000,22480.000000,36040.000000,37781.503000,39450.000000,/tmp/hotelReservation-power-sweeps/20260514T224102Z/9000/performance/client/logs/wrk_hotels_client_9000.log,/tmp/hotelReservation-power-sweeps/20260514T224102Z/9000/performance/server/logs/powerstat_hotels_performance_9000.log
hotels,schedutil,1000,1000.700000,67.24,5.290000,3.560000,34.620000,5.070000,10.140000,11.599000,14.610000,/tmp/hotelReservation-power-sweeps/20260514T224102Z/1000/schedutil/client/logs/wrk_hotels_client_1000.log,/tmp/hotelReservation-power-sweeps/20260514T224102Z/1000/schedutil/server/logs/powerstat_hotels_schedutil_1000.log
hotels,schedutil,3000,2992.220000,102.93,12.660000,9.380000,99.900000,11.140000,24.460000,30.095000,44.450000,/tmp/hotelReservation-power-sweeps/20260514T224102Z/3000/schedutil/client/logs/wrk_hotels_client_3000.log,/tmp/hotelReservation-power-sweeps/20260514T224102Z/3000/schedutil/server/logs/powerstat_hotels_schedutil_3000.log
hotels,schedutil,5000,3902.370000,106.98,8560.000000,3920.000000,18870.000000,8510.000000,13920.000000,14958.591000,16500.000000,/tmp/hotelReservation-power-sweeps/20260514T224102Z/5000/schedutil/client/logs/wrk_hotels_client_5000.log,/tmp/hotelReservation-power-sweeps/20260514T224102Z/5000/schedutil/server/logs/powerstat_hotels_schedutil_5000.log
hotels,schedutil,7000,3917.130000,107.03,17460.000000,7630.000000,33590.000000,17500.000000,27930.000000,29294.591000,30930.000000,/tmp/hotelReservation-power-sweeps/20260514T224102Z/7000/schedutil/client/logs/wrk_hotels_client_7000.log,/tmp/hotelReservation-power-sweeps/20260514T224102Z/7000/schedutil/server/logs/powerstat_hotels_schedutil_7000.log
hotels,schedutil,9000,3912.980000,107.15,22360.000000,9800.000000,41520.000000,22320.000000,35980.000000,37650.431000,39390.000000,/tmp/hotelReservation-power-sweeps/20260514T224102Z/9000/schedutil/client/logs/wrk_hotels_client_9000.log,/tmp/hotelReservation-power-sweeps/20260514T224102Z/9000/schedutil/server/logs/powerstat_hotels_schedutil_9000.log
