target,governor,arrival_rate_rps,requests_sec,avg_power_watts,latency_avg_ms,latency_stdev_ms,latency_max_ms,p50_ms,p90_ms,p95_ms,p99_ms,wrk_output,powerstat_output
hotels,performance,1000,992.160000,49.48,1.670000,0.318010,4.990000,1.630000,2.010000,2.287000,2.800000,/tmp/hotelReservation-power-sweeps/20260425T234541Z/1000/performance/client/logs/wrk_hotels_client_1000.log,/tmp/hotelReservation-power-sweeps/20260425T234541Z/1000/performance/server/logs/powerstat_hotels_performance_1000.log
hotels,performance,3000,3005.690000,63.66,1.950000,0.498500,7.680000,1.830000,2.580000,2.911000,3.740000,/tmp/hotelReservation-power-sweeps/20260425T234541Z/3000/performance/client/logs/wrk_hotels_client_3000.log,/tmp/hotelReservation-power-sweeps/20260425T234541Z/3000/performance/server/logs/powerstat_hotels_performance_3000.log
hotels,performance,5000,4989.360000,72.54,2.370000,0.761650,10.730000,2.180000,3.330000,3.837000,5.070000,/tmp/hotelReservation-power-sweeps/20260425T234541Z/5000/performance/client/logs/wrk_hotels_client_5000.log,/tmp/hotelReservation-power-sweeps/20260425T234541Z/5000/performance/server/logs/powerstat_hotels_performance_5000.log
hotels,performance,7000,6981.060000,78.91,3.210000,1.380000,38.530000,2.890000,4.820000,5.735000,7.990000,/tmp/hotelReservation-power-sweeps/20260425T234541Z/7000/performance/client/logs/wrk_hotels_client_7000.log,/tmp/hotelReservation-power-sweeps/20260425T234541Z/7000/performance/server/logs/powerstat_hotels_performance_7000.log
hotels,performance,9000,9006.270000,81.86,5.490000,3.120000,67.010000,4.660000,9.140000,11.295000,16.850000,/tmp/hotelReservation-power-sweeps/20260425T234541Z/9000/performance/client/logs/wrk_hotels_client_9000.log,/tmp/hotelReservation-power-sweeps/20260425T234541Z/9000/performance/server/logs/powerstat_hotels_performance_9000.log
hotels,performance,11000,11003.720000,83.39,20.560000,17.050000,236.670000,15.140000,41.380000,53.887000,86.330000,/tmp/hotelReservation-power-sweeps/20260425T234541Z/11000/performance/client/logs/wrk_hotels_client_11000.log,/tmp/hotelReservation-power-sweeps/20260425T234541Z/11000/performance/server/logs/powerstat_hotels_performance_11000.log
hotels,performance,13000,11792.730000,83.16,3150.000000,1380.000000,7050.000000,3140.000000,5040.000000,5447.679000,6160.000000,/tmp/hotelReservation-power-sweeps/20260425T234541Z/13000/performance/client/logs/wrk_hotels_client_13000.log,/tmp/hotelReservation-power-sweeps/20260425T234541Z/13000/performance/server/logs/powerstat_hotels_performance_13000.log
hotels,performance,15000,11863.220000,82.98,7430.000000,3020.000000,14160.000000,7450.000000,11530.000000,12140.543000,13020.000000,/tmp/hotelReservation-power-sweeps/20260425T234541Z/15000/performance/client/logs/wrk_hotels_client_15000.log,/tmp/hotelReservation-power-sweeps/20260425T234541Z/15000/performance/server/logs/powerstat_hotels_performance_15000.log
hotels,performance,17000,11840.620000,83.21,10450.000000,4380.000000,20120.000000,10430.000000,16490.000000,17285.119000,18200.000000,/tmp/hotelReservation-power-sweeps/20260425T234541Z/17000/performance/client/logs/wrk_hotels_client_17000.log,/tmp/hotelReservation-power-sweeps/20260425T234541Z/17000/performance/server/logs/powerstat_hotels_performance_17000.log
hotels,performance,19000,11850.850000,83.39,12970.000000,5420.000000,23870.000000,12970.000000,20460.000000,21413.887000,22330.000000,/tmp/hotelReservation-power-sweeps/20260425T234541Z/19000/performance/client/logs/wrk_hotels_client_19000.log,/tmp/hotelReservation-power-sweeps/20260425T234541Z/19000/performance/server/logs/powerstat_hotels_performance_19000.log
hotels,schedutil,1000,992.200000,29.97,3.700000,0.815120,12.410000,3.560000,4.710000,5.275000,6.530000,/tmp/hotelReservation-power-sweeps/20260425T234541Z/1000/schedutil/client/logs/wrk_hotels_client_1000.log,/tmp/hotelReservation-power-sweeps/20260425T234541Z/1000/schedutil/server/logs/powerstat_hotels_schedutil_1000.log
hotels,schedutil,3000,3005.650000,60.39,2.260000,0.612890,8.150000,2.120000,3.040000,3.431000,4.460000,/tmp/hotelReservation-power-sweeps/20260425T234541Z/3000/schedutil/client/logs/wrk_hotels_client_3000.log,/tmp/hotelReservation-power-sweeps/20260425T234541Z/3000/schedutil/server/logs/powerstat_hotels_schedutil_3000.log
hotels,schedutil,5000,4989.370000,73.84,2.400000,0.782210,10.630000,2.200000,3.390000,3.909000,5.200000,/tmp/hotelReservation-power-sweeps/20260425T234541Z/5000/schedutil/client/logs/wrk_hotels_client_5000.log,/tmp/hotelReservation-power-sweeps/20260425T234541Z/5000/schedutil/server/logs/powerstat_hotels_schedutil_5000.log
hotels,schedutil,7000,6981.170000,80.29,3.210000,1.310000,21.180000,2.910000,4.840000,5.743000,7.880000,/tmp/hotelReservation-power-sweeps/20260425T234541Z/7000/schedutil/client/logs/wrk_hotels_client_7000.log,/tmp/hotelReservation-power-sweeps/20260425T234541Z/7000/schedutil/server/logs/powerstat_hotels_schedutil_7000.log
hotels,schedutil,9000,9006.110000,83.23,5.420000,2.950000,45.980000,4.610000,9.060000,11.167000,16.360000,/tmp/hotelReservation-power-sweeps/20260425T234541Z/9000/schedutil/client/logs/wrk_hotels_client_9000.log,/tmp/hotelReservation-power-sweeps/20260425T234541Z/9000/schedutil/server/logs/powerstat_hotels_schedutil_9000.log
hotels,schedutil,11000,10958.080000,84.67,20.390000,16.420000,181.380000,15.100000,41.410000,53.535000,81.660000,/tmp/hotelReservation-power-sweeps/20260425T234541Z/11000/schedutil/client/logs/wrk_hotels_client_11000.log,/tmp/hotelReservation-power-sweeps/20260425T234541Z/11000/schedutil/server/logs/powerstat_hotels_schedutil_11000.log
hotels,schedutil,13000,11828.110000,84.82,3250.000000,1380.000000,7200.000000,3230.000000,5100.000000,5533.695000,6210.000000,/tmp/hotelReservation-power-sweeps/20260425T234541Z/13000/schedutil/client/logs/wrk_hotels_client_13000.log,/tmp/hotelReservation-power-sweeps/20260425T234541Z/13000/schedutil/server/logs/powerstat_hotels_schedutil_13000.log
hotels,schedutil,15000,11819.230000,84.31,7540.000000,3090.000000,14450.000000,7570.000000,11710.000000,12320.767000,13160.000000,/tmp/hotelReservation-power-sweeps/20260425T234541Z/15000/schedutil/client/logs/wrk_hotels_client_15000.log,/tmp/hotelReservation-power-sweeps/20260425T234541Z/15000/schedutil/server/logs/powerstat_hotels_schedutil_15000.log
hotels,schedutil,17000,11840.980000,84.60,10730.000000,4400.000000,19660.000000,10770.000000,16740.000000,17514.495000,18370.000000,/tmp/hotelReservation-power-sweeps/20260425T234541Z/17000/schedutil/client/logs/wrk_hotels_client_17000.log,/tmp/hotelReservation-power-sweeps/20260425T234541Z/17000/schedutil/server/logs/powerstat_hotels_schedutil_17000.log
hotels,schedutil,19000,11890.220000,84.75,13140.000000,5380.000000,23710.000000,13160.000000,20580.000000,21512.191000,22480.000000,/tmp/hotelReservation-power-sweeps/20260425T234541Z/19000/schedutil/client/logs/wrk_hotels_client_19000.log,/tmp/hotelReservation-power-sweeps/20260425T234541Z/19000/schedutil/server/logs/powerstat_hotels_schedutil_19000.log
