target,governor,arrival_rate_rps,requests_sec,avg_power_watts,latency_avg_ms,latency_stdev_ms,latency_max_ms,p50_ms,p90_ms,p95_ms,p99_ms,wrk_output,powerstat_output
hotels,performance,1000,1000.740000,73.40,7.080000,5.470000,42.910000,6.790000,14.590000,17.039000,21.730000,/tmp/hotelReservation-power-sweeps/20260501T191231Z/1000/performance/client/logs/wrk_hotels_client_1000.log,/tmp/hotelReservation-power-sweeps/20260501T191231Z/1000/performance/server/logs/powerstat_hotels_performance_1000.log
hotels,performance,3000,2699.060000,95.71,4160.000000,2260.000000,12520.000000,3910.000000,7360.000000,8253.439000,9880.000000,/tmp/hotelReservation-power-sweeps/20260501T191231Z/3000/performance/client/logs/wrk_hotels_client_3000.log,/tmp/hotelReservation-power-sweeps/20260501T191231Z/3000/performance/server/logs/powerstat_hotels_performance_3000.log
hotels,performance,5000,2805.320000,96.99,17470.000000,7630.000000,34180.000000,17480.000000,27890.000000,29261.823000,30950.000000,/tmp/hotelReservation-power-sweeps/20260501T191231Z/5000/performance/client/logs/wrk_hotels_client_5000.log,/tmp/hotelReservation-power-sweeps/20260501T191231Z/5000/performance/server/logs/powerstat_hotels_performance_5000.log
hotels,performance,7000,2775.910000,96.72,24000.000000,10470.000000,43750.000000,24080.000000,38440.000000,40239.103000,41910.000000,/tmp/hotelReservation-power-sweeps/20260501T191231Z/7000/performance/client/logs/wrk_hotels_client_7000.log,/tmp/hotelReservation-power-sweeps/20260501T191231Z/7000/performance/server/logs/powerstat_hotels_performance_7000.log
hotels,performance,9000,2769.630000,96.73,27360.000000,11990.000000,50430.000000,27360.000000,44010.000000,46137.343000,48040.000000,/tmp/hotelReservation-power-sweeps/20260501T191231Z/9000/performance/client/logs/wrk_hotels_client_9000.log,/tmp/hotelReservation-power-sweeps/20260501T191231Z/9000/performance/server/logs/powerstat_hotels_performance_9000.log
hotels,schedutil,1000,1000.610000,74.16,7.140000,5.480000,41.920000,6.950000,14.710000,17.087000,21.660000,/tmp/hotelReservation-power-sweeps/20260501T191231Z/1000/schedutil/client/logs/wrk_hotels_client_1000.log,/tmp/hotelReservation-power-sweeps/20260501T191231Z/1000/schedutil/server/logs/powerstat_hotels_schedutil_1000.log
hotels,schedutil,3000,2781.740000,96.56,3060.000000,1750.000000,9370.000000,2820.000000,5570.000000,6303.743000,7650.000000,/tmp/hotelReservation-power-sweeps/20260501T191231Z/3000/schedutil/client/logs/wrk_hotels_client_3000.log,/tmp/hotelReservation-power-sweeps/20260501T191231Z/3000/schedutil/server/logs/powerstat_hotels_schedutil_3000.log
hotels,schedutil,5000,2792.100000,96.74,17690.000000,7750.000000,34600.000000,17780.000000,28300.000000,29638.655000,31470.000000,/tmp/hotelReservation-power-sweeps/20260501T191231Z/5000/schedutil/client/logs/wrk_hotels_client_5000.log,/tmp/hotelReservation-power-sweeps/20260501T191231Z/5000/schedutil/server/logs/powerstat_hotels_schedutil_5000.log
hotels,schedutil,7000,2788.140000,96.93,24090.000000,10440.000000,43880.000000,24100.000000,38540.000000,40304.639000,42110.000000,/tmp/hotelReservation-power-sweeps/20260501T191231Z/7000/schedutil/client/logs/wrk_hotels_client_7000.log,/tmp/hotelReservation-power-sweeps/20260501T191231Z/7000/schedutil/server/logs/powerstat_hotels_schedutil_7000.log
hotels,schedutil,9000,2779.430000,96.89,27620.000000,12000.000000,50040.000000,27620.000000,44300.000000,46333.951000,48100.000000,/tmp/hotelReservation-power-sweeps/20260501T191231Z/9000/schedutil/client/logs/wrk_hotels_client_9000.log,/tmp/hotelReservation-power-sweeps/20260501T191231Z/9000/schedutil/server/logs/powerstat_hotels_schedutil_9000.log
