target,governor,arrival_rate_rps,requests_sec,avg_power_watts,latency_avg_ms,latency_stdev_ms,latency_max_ms,p50_ms,p90_ms,p95_ms,p99_ms,wrk_output,powerstat_output
hotels,performance,1000,996.220000,56.01,2.690000,1.350000,10.420000,2.100000,4.700000,5.287000,6.380000,/tmp/hotelReservation-power-sweeps/20260426T005041Z/1000/performance/client/logs/wrk_hotels_client_1000.log,/tmp/hotelReservation-power-sweeps/20260426T005041Z/1000/performance/server/logs/powerstat_hotels_performance_1000.log
hotels,performance,3000,2993.180000,76.76,3.910000,2.180000,27.420000,3.320000,6.950000,8.079000,10.650000,/tmp/hotelReservation-power-sweeps/20260426T005041Z/3000/performance/client/logs/wrk_hotels_client_3000.log,/tmp/hotelReservation-power-sweeps/20260426T005041Z/3000/performance/server/logs/powerstat_hotels_performance_3000.log
hotels,performance,5000,5008.840000,85.34,11.320000,7.810000,111.170000,9.220000,21.060000,26.543000,39.840000,/tmp/hotelReservation-power-sweeps/20260426T005041Z/5000/performance/client/logs/wrk_hotels_client_5000.log,/tmp/hotelReservation-power-sweeps/20260426T005041Z/5000/performance/server/logs/powerstat_hotels_performance_5000.log
hotels,performance,7000,5981.080000,86.08,4990.000000,2220.000000,11230.000000,4900.000000,8030.000000,8675.327000,9750.000000,/tmp/hotelReservation-power-sweeps/20260426T005041Z/7000/performance/client/logs/wrk_hotels_client_7000.log,/tmp/hotelReservation-power-sweeps/20260426T005041Z/7000/performance/server/logs/powerstat_hotels_performance_7000.log
hotels,performance,9000,6002.090000,86.71,11530.000000,4840.000000,22220.000000,11540.000000,18170.000000,19070.975000,20220.000000,/tmp/hotelReservation-power-sweeps/20260426T005041Z/9000/performance/client/logs/wrk_hotels_client_9000.log,/tmp/hotelReservation-power-sweeps/20260426T005041Z/9000/performance/server/logs/powerstat_hotels_performance_9000.log
hotels,performance,11000,5980.780000,86.48,16020.000000,6600.000000,29260.000000,16010.000000,25150.000000,26312.703000,27540.000000,/tmp/hotelReservation-power-sweeps/20260426T005041Z/11000/performance/client/logs/wrk_hotels_client_11000.log,/tmp/hotelReservation-power-sweeps/20260426T005041Z/11000/performance/server/logs/powerstat_hotels_performance_11000.log
hotels,performance,13000,5970.980000,86.13,18960.000000,7830.000000,33780.000000,18940.000000,29770.000000,31145.983000,32440.000000,/tmp/hotelReservation-power-sweeps/20260426T005041Z/13000/performance/client/logs/wrk_hotels_client_13000.log,/tmp/hotelReservation-power-sweeps/20260426T005041Z/13000/performance/server/logs/powerstat_hotels_performance_13000.log
hotels,performance,15000,5989.980000,86.53,21100.000000,8660.000000,37260.000000,21070.000000,33100.000000,34570.239000,35950.000000,/tmp/hotelReservation-power-sweeps/20260426T005041Z/15000/performance/client/logs/wrk_hotels_client_15000.log,/tmp/hotelReservation-power-sweeps/20260426T005041Z/15000/performance/server/logs/powerstat_hotels_performance_15000.log
hotels,performance,17000,5982.860000,86.45,22480.000000,9360.000000,39880.000000,22450.000000,35450.000000,37093.375000,38500.000000,/tmp/hotelReservation-power-sweeps/20260426T005041Z/17000/performance/client/logs/wrk_hotels_client_17000.log,/tmp/hotelReservation-power-sweeps/20260426T005041Z/17000/performance/server/logs/powerstat_hotels_performance_17000.log
hotels,performance,19000,5979.880000,86.86,23570.000000,9880.000000,41710.000000,23590.000000,37260.000000,38993.919000,40440.000000,/tmp/hotelReservation-power-sweeps/20260426T005041Z/19000/performance/client/logs/wrk_hotels_client_19000.log,/tmp/hotelReservation-power-sweeps/20260426T005041Z/19000/performance/server/logs/powerstat_hotels_performance_19000.log
hotels,schedutil,1000,992.050000,39.50,4.790000,2.600000,27.660000,3.870000,8.570000,9.839000,12.340000,/tmp/hotelReservation-power-sweeps/20260426T005041Z/1000/schedutil/client/logs/wrk_hotels_client_1000.log,/tmp/hotelReservation-power-sweeps/20260426T005041Z/1000/schedutil/server/logs/powerstat_hotels_schedutil_1000.log
hotels,schedutil,3000,3005.630000,78.07,3.900000,2.200000,24.190000,3.280000,6.930000,8.091000,10.750000,/tmp/hotelReservation-power-sweeps/20260426T005041Z/3000/schedutil/client/logs/wrk_hotels_client_3000.log,/tmp/hotelReservation-power-sweeps/20260426T005041Z/3000/schedutil/server/logs/powerstat_hotels_schedutil_3000.log
hotels,schedutil,5000,4988.180000,86.80,11.510000,8.120000,94.720000,9.270000,21.530000,27.263000,41.630000,/tmp/hotelReservation-power-sweeps/20260426T005041Z/5000/schedutil/client/logs/wrk_hotels_client_5000.log,/tmp/hotelReservation-power-sweeps/20260426T005041Z/5000/schedutil/server/logs/powerstat_hotels_schedutil_5000.log
hotels,schedutil,7000,5996.080000,88.09,5100.000000,2200.000000,11530.000000,5030.000000,8130.000000,8724.479000,9700.000000,/tmp/hotelReservation-power-sweeps/20260426T005041Z/7000/schedutil/client/logs/wrk_hotels_client_7000.log,/tmp/hotelReservation-power-sweeps/20260426T005041Z/7000/schedutil/server/logs/powerstat_hotels_schedutil_7000.log
hotels,schedutil,9000,5984.020000,88.06,11780.000000,4890.000000,22860.000000,11760.000000,18510.000000,19398.655000,20550.000000,/tmp/hotelReservation-power-sweeps/20260426T005041Z/9000/schedutil/client/logs/wrk_hotels_client_9000.log,/tmp/hotelReservation-power-sweeps/20260426T005041Z/9000/schedutil/server/logs/powerstat_hotels_schedutil_9000.log
hotels,schedutil,11000,5990.690000,88.15,15800.000000,6590.000000,28820.000000,15840.000000,24890.000000,26050.559000,27280.000000,/tmp/hotelReservation-power-sweeps/20260426T005041Z/11000/schedutil/client/logs/wrk_hotels_client_11000.log,/tmp/hotelReservation-power-sweeps/20260426T005041Z/11000/schedutil/server/logs/powerstat_hotels_schedutil_11000.log
hotels,schedutil,13000,5991.110000,87.97,18690.000000,7780.000000,33650.000000,18680.000000,29490.000000,30834.687000,32100.000000,/tmp/hotelReservation-power-sweeps/20260426T005041Z/13000/schedutil/client/logs/wrk_hotels_client_13000.log,/tmp/hotelReservation-power-sweeps/20260426T005041Z/13000/schedutil/server/logs/powerstat_hotels_schedutil_13000.log
hotels,schedutil,15000,5964.010000,87.85,21170.000000,8710.000000,37390.000000,21200.000000,33190.000000,34734.079000,36080.000000,/tmp/hotelReservation-power-sweeps/20260426T005041Z/15000/schedutil/client/logs/wrk_hotels_client_15000.log,/tmp/hotelReservation-power-sweeps/20260426T005041Z/15000/schedutil/server/logs/powerstat_hotels_schedutil_15000.log
hotels,schedutil,17000,5974.430000,88.04,22690.000000,9360.000000,40110.000000,22630.000000,35750.000000,37388.287000,38730.000000,/tmp/hotelReservation-power-sweeps/20260426T005041Z/17000/schedutil/client/logs/wrk_hotels_client_17000.log,/tmp/hotelReservation-power-sweeps/20260426T005041Z/17000/schedutil/server/logs/powerstat_hotels_schedutil_17000.log
hotels,schedutil,19000,5976.020000,88.15,23780.000000,9900.000000,42010.000000,23770.000000,37520.000000,39223.295000,40700.000000,/tmp/hotelReservation-power-sweeps/20260426T005041Z/19000/schedutil/client/logs/wrk_hotels_client_19000.log,/tmp/hotelReservation-power-sweeps/20260426T005041Z/19000/schedutil/server/logs/powerstat_hotels_schedutil_19000.log
