target,governor,arrival_rate_rps,requests_sec,avg_power_watts,latency_avg_ms,latency_stdev_ms,latency_max_ms,p50_ms,p90_ms,p95_ms,p99_ms,wrk_output,powerstat_output
hotels,performance,1000,997.190000,62.94,2.770000,1.460000,16.660000,2.230000,4.820000,5.491000,6.960000,/tmp/hotelReservation-power-sweeps/20260426T133648Z/1000/performance/client/logs/wrk_hotels_client_1000.log,/tmp/hotelReservation-power-sweeps/20260426T133648Z/1000/performance/server/logs/powerstat_hotels_performance_1000.log
hotels,performance,3000,3002.600000,86.36,3.890000,2.170000,23.770000,3.290000,6.900000,8.031000,10.540000,/tmp/hotelReservation-power-sweeps/20260426T133648Z/3000/performance/client/logs/wrk_hotels_client_3000.log,/tmp/hotelReservation-power-sweeps/20260426T133648Z/3000/performance/server/logs/powerstat_hotels_performance_3000.log
hotels,performance,5000,4996.860000,96.60,11.560000,8.240000,146.180000,9.300000,21.580000,27.407000,42.080000,/tmp/hotelReservation-power-sweeps/20260426T133648Z/5000/performance/client/logs/wrk_hotels_client_5000.log,/tmp/hotelReservation-power-sweeps/20260426T133648Z/5000/performance/server/logs/powerstat_hotels_performance_5000.log
hotels,performance,7000,5982.560000,98.10,5690.000000,2600.000000,13240.000000,5600.000000,9280.000000,9986.047000,11030.000000,/tmp/hotelReservation-power-sweeps/20260426T133648Z/7000/performance/client/logs/wrk_hotels_client_7000.log,/tmp/hotelReservation-power-sweeps/20260426T133648Z/7000/performance/server/logs/powerstat_hotels_performance_7000.log
hotels,performance,9000,5995.000000,98.13,13230.000000,5830.000000,25540.000000,13210.000000,21250.000000,22298.623000,23560.000000,/tmp/hotelReservation-power-sweeps/20260426T133648Z/9000/performance/client/logs/wrk_hotels_client_9000.log,/tmp/hotelReservation-power-sweeps/20260426T133648Z/9000/performance/server/logs/powerstat_hotels_performance_9000.log
hotels,schedutil,1000,1000.660000,44.98,4.730000,2.560000,22.900000,3.800000,8.470000,9.727000,12.130000,/tmp/hotelReservation-power-sweeps/20260426T133648Z/1000/schedutil/client/logs/wrk_hotels_client_1000.log,/tmp/hotelReservation-power-sweeps/20260426T133648Z/1000/schedutil/server/logs/powerstat_hotels_schedutil_1000.log
hotels,schedutil,3000,2992.490000,86.75,3.900000,2.180000,25.600000,3.290000,6.930000,8.063000,10.610000,/tmp/hotelReservation-power-sweeps/20260426T133648Z/3000/schedutil/client/logs/wrk_hotels_client_3000.log,/tmp/hotelReservation-power-sweeps/20260426T133648Z/3000/schedutil/server/logs/powerstat_hotels_schedutil_3000.log
hotels,schedutil,5000,4997.310000,96.65,11.520000,8.130000,135.290000,9.320000,21.470000,27.119000,41.380000,/tmp/hotelReservation-power-sweeps/20260426T133648Z/5000/schedutil/client/logs/wrk_hotels_client_5000.log,/tmp/hotelReservation-power-sweeps/20260426T133648Z/5000/schedutil/server/logs/powerstat_hotels_schedutil_5000.log
hotels,schedutil,7000,6007.420000,98.15,5750.000000,2600.000000,13210.000000,5690.000000,9270.000000,10002.431000,11090.000000,/tmp/hotelReservation-power-sweeps/20260426T133648Z/7000/schedutil/client/logs/wrk_hotels_client_7000.log,/tmp/hotelReservation-power-sweeps/20260426T133648Z/7000/schedutil/server/logs/powerstat_hotels_schedutil_7000.log
hotels,schedutil,9000,5998.990000,98.16,13460.000000,5820.000000,25610.000000,13410.000000,21510.000000,22495.231000,23690.000000,/tmp/hotelReservation-power-sweeps/20260426T133648Z/9000/schedutil/client/logs/wrk_hotels_client_9000.log,/tmp/hotelReservation-power-sweeps/20260426T133648Z/9000/schedutil/server/logs/powerstat_hotels_schedutil_9000.log
