target,governor,arrival_rate_rps,requests_sec,avg_power_watts,latency_avg_ms,latency_stdev_ms,latency_max_ms,p50_ms,p90_ms,p95_ms,p99_ms,wrk_output,powerstat_output
hotels,performance,1000,993.280000,54.95,1.730000,0.480070,9.650000,1.640000,2.140000,2.595000,3.850000,/tmp/hotelReservation-power-sweeps/20260426T131016Z/1000/performance/client/logs/wrk_hotels_client_1000.log,/tmp/hotelReservation-power-sweeps/20260426T131016Z/1000/performance/server/logs/powerstat_hotels_performance_1000.log
hotels,performance,3000,2992.690000,71.22,1.970000,0.533030,8.010000,1.850000,2.660000,3.013000,3.880000,/tmp/hotelReservation-power-sweeps/20260426T131016Z/3000/performance/client/logs/wrk_hotels_client_3000.log,/tmp/hotelReservation-power-sweeps/20260426T131016Z/3000/performance/server/logs/powerstat_hotels_performance_3000.log
hotels,performance,5000,5014.900000,81.23,2.370000,0.786430,13.000000,2.160000,3.360000,3.875000,5.190000,/tmp/hotelReservation-power-sweeps/20260426T131016Z/5000/performance/client/logs/wrk_hotels_client_5000.log,/tmp/hotelReservation-power-sweeps/20260426T131016Z/5000/performance/server/logs/powerstat_hotels_performance_5000.log
hotels,performance,7000,6981.940000,88.10,3.100000,1.270000,19.900000,2.800000,4.670000,5.535000,7.670000,/tmp/hotelReservation-power-sweeps/20260426T131016Z/7000/performance/client/logs/wrk_hotels_client_7000.log,/tmp/hotelReservation-power-sweeps/20260426T131016Z/7000/performance/server/logs/powerstat_hotels_performance_7000.log
hotels,performance,9000,8975.660000,91.80,5.160000,2.730000,42.810000,4.440000,8.540000,10.447000,15.160000,/tmp/hotelReservation-power-sweeps/20260426T131016Z/9000/performance/client/logs/wrk_hotels_client_9000.log,/tmp/hotelReservation-power-sweeps/20260426T131016Z/9000/performance/server/logs/powerstat_hotels_performance_9000.log
hotels,performance,11000,10964.540000,93.59,18.490000,14.620000,165.760000,13.900000,36.540000,47.199000,74.050000,/tmp/hotelReservation-power-sweeps/20260426T131016Z/11000/performance/client/logs/wrk_hotels_client_11000.log,/tmp/hotelReservation-power-sweeps/20260426T131016Z/11000/performance/server/logs/powerstat_hotels_performance_11000.log
hotels,performance,13000,11860.800000,94.31,3380.000000,1600.000000,8770.000000,3350.000000,5570.000000,5988.351000,6610.000000,/tmp/hotelReservation-power-sweeps/20260426T131016Z/13000/performance/client/logs/wrk_hotels_client_13000.log,/tmp/hotelReservation-power-sweeps/20260426T131016Z/13000/performance/server/logs/powerstat_hotels_performance_13000.log
hotels,schedutil,1000,997.230000,31.32,3.760000,0.860000,12.980000,3.610000,4.840000,5.447000,6.790000,/tmp/hotelReservation-power-sweeps/20260426T131016Z/1000/schedutil/client/logs/wrk_hotels_client_1000.log,/tmp/hotelReservation-power-sweeps/20260426T131016Z/1000/schedutil/server/logs/powerstat_hotels_schedutil_1000.log
hotels,schedutil,3000,2992.520000,66.62,2.250000,0.621340,8.650000,2.110000,3.040000,3.445000,4.450000,/tmp/hotelReservation-power-sweeps/20260426T131016Z/3000/schedutil/client/logs/wrk_hotels_client_3000.log,/tmp/hotelReservation-power-sweeps/20260426T131016Z/3000/schedutil/server/logs/powerstat_hotels_schedutil_3000.log
hotels,schedutil,5000,4997.450000,81.21,2.400000,0.796690,16.880000,2.190000,3.400000,3.923000,5.240000,/tmp/hotelReservation-power-sweeps/20260426T131016Z/5000/schedutil/client/logs/wrk_hotels_client_5000.log,/tmp/hotelReservation-power-sweeps/20260426T131016Z/5000/schedutil/server/logs/powerstat_hotels_schedutil_5000.log
hotels,schedutil,7000,6957.540000,88.26,3.120000,1.280000,25.630000,2.820000,4.700000,5.579000,7.670000,/tmp/hotelReservation-power-sweeps/20260426T131016Z/7000/schedutil/client/logs/wrk_hotels_client_7000.log,/tmp/hotelReservation-power-sweeps/20260426T131016Z/7000/schedutil/server/logs/powerstat_hotels_schedutil_7000.log
hotels,schedutil,9000,8975.580000,92.12,5.180000,2.710000,49.890000,4.460000,8.540000,10.455000,15.070000,/tmp/hotelReservation-power-sweeps/20260426T131016Z/9000/schedutil/client/logs/wrk_hotels_client_9000.log,/tmp/hotelReservation-power-sweeps/20260426T131016Z/9000/schedutil/server/logs/powerstat_hotels_schedutil_9000.log
hotels,schedutil,11000,10963.720000,93.68,19.220000,15.920000,202.880000,14.170000,38.430000,50.239000,80.640000,/tmp/hotelReservation-power-sweeps/20260426T131016Z/11000/schedutil/client/logs/wrk_hotels_client_11000.log,/tmp/hotelReservation-power-sweeps/20260426T131016Z/11000/schedutil/server/logs/powerstat_hotels_schedutil_11000.log
hotels,schedutil,13000,11853.230000,94.28,3610.000000,1630.000000,8250.000000,3560.000000,5820.000000,6307.839000,7050.000000,/tmp/hotelReservation-power-sweeps/20260426T131016Z/13000/schedutil/client/logs/wrk_hotels_client_13000.log,/tmp/hotelReservation-power-sweeps/20260426T131016Z/13000/schedutil/server/logs/powerstat_hotels_schedutil_13000.log
