target,governor,arrival_rate_rps,requests_sec,avg_power_watts,latency_avg_ms,latency_stdev_ms,latency_max_ms,p50_ms,p90_ms,p95_ms,p99_ms,wrk_output,powerstat_output
hotels,performance,1000,1000.760000,33.76,3.680000,0.900000,14.380000,3.580000,4.740000,5.311000,6.660000,/tmp/hotelReservation-power-sweeps/20260426T141525Z/1000/performance/client/logs/wrk_hotels_client_1000.log,/tmp/hotelReservation-power-sweeps/20260426T141525Z/1000/performance/server/logs/powerstat_hotels_performance_1000.log
hotels,performance,3000,3002.680000,71.69,1.970000,0.528500,9.980000,1.850000,2.630000,2.983000,3.870000,/tmp/hotelReservation-power-sweeps/20260426T141525Z/3000/performance/client/logs/wrk_hotels_client_3000.log,/tmp/hotelReservation-power-sweeps/20260426T141525Z/3000/performance/server/logs/powerstat_hotels_performance_3000.log
hotels,performance,5000,5015.100000,81.96,2.390000,0.777290,12.520000,2.190000,3.360000,3.879000,5.160000,/tmp/hotelReservation-power-sweeps/20260426T141525Z/5000/performance/client/logs/wrk_hotels_client_5000.log,/tmp/hotelReservation-power-sweeps/20260426T141525Z/5000/performance/server/logs/powerstat_hotels_performance_5000.log
hotels,performance,7000,7007.540000,89.08,3.230000,1.330000,21.070000,2.920000,4.870000,5.771000,8.000000,/tmp/hotelReservation-power-sweeps/20260426T141525Z/7000/performance/client/logs/wrk_hotels_client_7000.log,/tmp/hotelReservation-power-sweeps/20260426T141525Z/7000/performance/server/logs/powerstat_hotels_performance_7000.log
hotels,performance,9000,9006.990000,92.72,5.660000,3.050000,45.220000,4.830000,9.440000,11.623000,16.940000,/tmp/hotelReservation-power-sweeps/20260426T141525Z/9000/performance/client/logs/wrk_hotels_client_9000.log,/tmp/hotelReservation-power-sweeps/20260426T141525Z/9000/performance/server/logs/powerstat_hotels_performance_9000.log
hotels,performance,11000,10924.620000,93.83,24.500000,21.020000,285.950000,17.820000,50.210000,65.855000,105.020000,/tmp/hotelReservation-power-sweeps/20260426T141525Z/11000/performance/client/logs/wrk_hotels_client_11000.log,/tmp/hotelReservation-power-sweeps/20260426T141525Z/11000/performance/server/logs/powerstat_hotels_performance_11000.log
hotels,performance,13000,11704.280000,93.85,4120.000000,1780.000000,8600.000000,4070.000000,6550.000000,7012.351000,7790.000000,/tmp/hotelReservation-power-sweeps/20260426T141525Z/13000/performance/client/logs/wrk_hotels_client_13000.log,/tmp/hotelReservation-power-sweeps/20260426T141525Z/13000/performance/server/logs/powerstat_hotels_performance_13000.log
hotels,schedutil,1000,1000.720000,31.62,3.780000,0.839360,11.810000,3.640000,4.820000,5.395000,6.780000,/tmp/hotelReservation-power-sweeps/20260426T141525Z/1000/schedutil/client/logs/wrk_hotels_client_1000.log,/tmp/hotelReservation-power-sweeps/20260426T141525Z/1000/schedutil/server/logs/powerstat_hotels_schedutil_1000.log
hotels,schedutil,3000,3002.690000,66.81,2.260000,0.620520,10.980000,2.120000,3.040000,3.435000,4.440000,/tmp/hotelReservation-power-sweeps/20260426T141525Z/3000/schedutil/client/logs/wrk_hotels_client_3000.log,/tmp/hotelReservation-power-sweeps/20260426T141525Z/3000/schedutil/server/logs/powerstat_hotels_schedutil_3000.log
hotels,schedutil,5000,5015.020000,82.02,2.420000,0.804370,24.580000,2.220000,3.420000,3.947000,5.240000,/tmp/hotelReservation-power-sweeps/20260426T141525Z/5000/schedutil/client/logs/wrk_hotels_client_5000.log,/tmp/hotelReservation-power-sweeps/20260426T141525Z/5000/schedutil/server/logs/powerstat_hotels_schedutil_5000.log
hotels,schedutil,7000,6981.940000,89.37,3.260000,1.380000,32.900000,2.940000,4.920000,5.863000,8.200000,/tmp/hotelReservation-power-sweeps/20260426T141525Z/7000/schedutil/client/logs/wrk_hotels_client_7000.log,/tmp/hotelReservation-power-sweeps/20260426T141525Z/7000/schedutil/server/logs/powerstat_hotels_schedutil_7000.log
hotels,schedutil,9000,8975.330000,92.72,5.800000,3.210000,47.520000,4.930000,9.730000,12.031000,17.740000,/tmp/hotelReservation-power-sweeps/20260426T141525Z/9000/schedutil/client/logs/wrk_hotels_client_9000.log,/tmp/hotelReservation-power-sweeps/20260426T141525Z/9000/schedutil/server/logs/powerstat_hotels_schedutil_9000.log
hotels,schedutil,11000,11003.660000,93.79,22.700000,18.710000,283.140000,16.800000,46.080000,59.423000,91.780000,/tmp/hotelReservation-power-sweeps/20260426T141525Z/11000/schedutil/client/logs/wrk_hotels_client_11000.log,/tmp/hotelReservation-power-sweeps/20260426T141525Z/11000/schedutil/server/logs/powerstat_hotels_schedutil_11000.log
hotels,schedutil,13000,11703.920000,93.83,4050.000000,1800.000000,9050.000000,3980.000000,6520.000000,7024.639000,7870.000000,/tmp/hotelReservation-power-sweeps/20260426T141525Z/13000/schedutil/client/logs/wrk_hotels_client_13000.log,/tmp/hotelReservation-power-sweeps/20260426T141525Z/13000/schedutil/server/logs/powerstat_hotels_schedutil_13000.log
