Running for 60.0 seconds (120 samples at 0.5 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
13:33:47  18.8   0.0   4.5  76.7   0.0    8 260908  94668    1    1    1  55.17 
13:33:48  20.3   0.0   4.6  75.1   0.0   22 265230  93538    0    0    0  55.69 
13:33:48  20.5   0.0   4.5  75.0   0.0    5 258948  96016    0    0    0  55.91 
13:33:49  18.0   0.0   5.2  76.9   0.0    4 258812  94198    0    0    0  55.08 
13:33:49  17.1   0.0   4.2  78.8   0.0   24 265104  97104    0    0    0  55.72 
13:33:50  18.3   0.0   4.6  77.1   0.0    6 251046  89104    0    0    0  55.17 
13:33:50  18.4   0.0   4.8  76.7   0.0    8 265430  97174    0    0    0  56.11 
13:33:51  16.0   0.0   4.8  79.2   0.0   19 254172  86734    0    0    0  56.12 
13:33:51  17.2   0.0   4.5  78.3   0.0    6 260474  92380    0    0    0  55.60 
13:33:52  15.6   0.0   4.6  79.7   0.0    2 251142  92440    0    0    0  56.25 
13:33:52  17.6   0.0   4.2  78.3   0.0    6 264058  93994    0    0    0  56.38 
13:33:53  18.6   0.0   4.4  76.5   0.4    9 274230 102056    0    0    0  57.08 
13:33:53  20.1   0.0   4.6  75.4   0.0    5 255456  88038    0    0    0  52.98 
13:33:54  22.3   0.0   4.7  73.0   0.0    7 253334  94664    0    0    0  46.85 
13:33:54  19.9   0.0   4.6  75.6   0.0    3 264742  96142    0    0    0  51.39 
13:33:55  16.6   0.0   4.5  78.9   0.0    3 256748  90210    0    0    0  56.95 
13:33:55  17.1   0.0   5.0  78.0   0.0   10 266886  93988    0    0    0  56.61 
13:33:56  16.8   0.0   4.6  78.6   0.0    4 268608  93720    0    0    0  56.89 
13:33:56  18.5   0.0   4.9  76.6   0.0    9 253610  93804    0    0    0  55.86 
13:33:57  17.5   0.0   4.9  77.6   0.0   26 262686  96316    0    0    0  55.49 
13:33:57  17.8   0.0   4.8  77.5   0.0    4 252976  93360    0    0    0  55.34 
13:33:58  21.6   0.0   6.0  72.5   0.0    4 249316  96354    0    0    0  45.70 
13:33:58  18.0   0.0   4.7  77.3   0.1    9 259800  92736    0    0    0  53.76 
13:33:59  17.9   0.0   4.0  78.1   0.0    5 271564  98088    0    0    0  56.77 
13:33:59  16.8   0.0   4.3  78.9   0.0    8 253886  85320    0    0    0  56.04 
13:34:00  18.7   0.0   4.7  76.6   0.0   13 263650  92860    0    0    0  55.95 
13:34:00  20.4   0.0   4.4  75.2   0.0   10 257936  94078    0    0    0  56.73 
13:34:01  19.2   0.0   4.2  76.6   0.0    6 264150  95024    0    0    0  57.47 
13:34:01  18.8   0.0   4.9  76.3   0.0    3 255434  93738    0    0    0  56.22 
13:34:02  19.7   0.0   5.3  75.0   0.0    8 259762  94324    0    0    0  55.90 
13:34:02  18.9   0.0   4.1  77.0   0.0   15 263802  92032    0    0    1  56.82 
13:34:03  18.1   0.0   4.5  77.4   0.0    5 264046  95398    0    0    0  55.59 
13:34:03  19.5   0.0   4.3  76.2   0.0    6 256980  92986    0    0    0  55.34 
13:34:04  19.9   0.0   4.6  75.5   0.0    8 259622  92724    0    0    0  54.70 
13:34:04  19.5   0.0   5.1  75.4   0.0    9 249194  91610    0    0    0  55.33 
13:34:05  18.5   0.0   3.9  77.7   0.0    6 251140  89524    0    0    0  55.49 
13:34:05  19.7   0.0   5.2  75.0   0.0   29 251758  93388    0    0    0  55.14 
13:34:06  19.5   0.0   4.2  76.4   0.0    7 267294  95784    0    0    0  56.47 
13:34:06  17.6   0.0   4.0  78.3   0.0    9 258162  94876    0    0    0  56.98 
13:34:07  19.6   0.0   4.6  75.7   0.0    5 254300  93252    0    0    0  55.51 
13:34:07  19.5   0.0   4.4  76.1   0.0    6 265016  97770    0    0    0  56.11 
13:34:08  19.1   0.0   5.1  75.8   0.0    8 254296  89370    0    0    0  55.67 
13:34:08  19.3   0.0   4.9  75.8   0.0   26 271788  99094    0    0    0  56.13 
13:34:09  18.4   0.0   4.5  77.0   0.0    5 260370  93072    0    0    0  55.29 
13:34:09  19.0   0.0   5.5  75.5   0.0   11 247164  92664    0    0    0  49.84 
13:34:10  20.7   0.0   5.9  73.4   0.0   27 249716  93044    0    0    0  45.46 
13:34:10  20.1   0.0   5.4  74.5   0.0   37 262780  98088    0    0    0  47.73 
13:34:11  18.1   0.0   4.7  77.2   0.0    6 271054 100418    0    0    0  57.07 
13:34:11  18.8   0.0   4.6  76.5   0.1    8 262320  96456    0    0    0  56.21 
13:34:12  19.6   0.0   5.2  75.2   0.0    4 268390  95826    0    0    0  57.36 
13:34:12  17.2   0.0   4.7  78.1   0.0    4 251196  87412    0    0    0  55.95 
13:34:13  18.7   0.0   4.3  76.9   0.0   24 254588  88494    0    0    0  56.47 
13:34:13  17.9   0.0   4.7  77.4   0.0    9 256560  90240    0    0    0  56.49 
13:34:14  19.7   0.0   4.2  76.2   0.0    7 257198  89844    0    0    0  55.77 
13:34:14  18.1   0.0   4.8  77.1   0.0   12 266248  96404    0    0    0  56.53 
13:34:15  19.5   0.0   4.9  75.7   0.0    7 246696  88052    0    0    0  54.95 
13:34:15  19.1   0.0   4.8  76.1   0.0    1 247868  92034    0    0    0  48.47 
13:34:16  20.7   0.0   5.2  74.1   0.0   10 256310  91472    0    0    0  46.61 
13:34:16  19.0   0.0   5.2  75.8   0.0    5 255046  92522    0    0    0  47.08 
13:34:17  16.4   0.0   4.6  79.0   0.0    4 264664  97306    0    0    0  55.87 
13:34:17  17.2   0.0   5.4  77.2   0.1   11 265588  92788    0    0    0  56.60 
13:34:18  16.9   0.0   4.2  78.9   0.0    6 256646  90228    0    0    0  56.23 
13:34:18  17.3   0.0   4.3  78.4   0.0    4 254688  89722    0    0    0  56.00 
13:34:19  19.9   0.0   4.4  75.7   0.0   14 242720  87632    0    0    0  53.02 
13:34:19  22.1   0.0   4.8  73.0   0.0    7 254606  95488    0    0    0  45.60 
13:34:20  18.7   0.0   4.3  77.0   0.0    9 262160  92588    0    0    0  52.85 
13:34:20  19.1   0.0   4.8  76.1   0.0    7 263116  94830    0    0    0  55.76 
13:34:21  17.1   0.0   4.6  78.3   0.0    6 263504  97300    0    0    0  56.45 
13:34:21  18.8   0.0   4.7  76.5   0.0   11 261096  91016    0    0    0  56.38 
13:34:22  18.9   0.0   4.6  76.5   0.0    6 260908  94450    0    0    0  54.62 
13:34:22  17.2   0.0   5.0  77.9   0.0    4 248072  90454    0    0    0  54.84 
13:34:23  19.1   0.0   5.0  75.9   0.0   10 249054  85048    0    0    0  55.36 
13:34:23  19.3   0.0   4.5  76.2   0.0    7 256708  92740    0    0    0  55.61 
13:34:24  19.0   0.0   4.5  76.5   0.0   10 258966  94080    0    0    0  55.51 
13:34:24  20.1   0.0   4.0  75.9   0.0   10 250518  88422    0    0    0  56.00 
13:34:25  18.5   0.0   4.4  77.1   0.0   13 256714  88868    0    0    0  56.57 
13:34:25  21.1   0.0   4.0  74.9   0.0   10 264376  93936    0    0    0  56.86 
13:34:26  20.8   0.0   4.3  74.9   0.0   10 255586  88498    0    0    0  56.94 
13:34:26  18.4   0.0   4.3  77.3   0.0    9 272382  96802    0    0    0  57.57 
13:34:27  17.7   0.0   4.3  78.0   0.0    8 258562  89220    0    0    0  56.30 
13:34:27  17.1   0.0   4.9  78.0   0.0    5 265946  99208    0    0    0  55.65 
13:34:28  18.8   0.0   4.2  77.0   0.0   11 260574  91966    0    0    0  55.74 
13:34:28  16.9   0.0   4.6  78.5   0.0   12 258876  89778    0    0    0  54.39 
13:34:29  21.2   0.0   5.0  73.9   0.0    5 260846  98780    0    0    0  48.15 
13:34:29  18.2   0.0   4.9  76.9   0.0    4 257900  93026    0    0    0  47.17 
13:34:30  17.9   0.0   4.3  77.8   0.0   23 244590  85042    0    0    0  53.14 
13:34:30  18.8   0.0   5.2  76.0   0.0    6 266880  97878    0    0    0  56.44 
13:34:31  19.0   0.0   4.7  76.3   0.0    6 269158  94534    0    0    0  56.58 
13:34:31  21.2   0.0   4.7  74.1   0.1   11 263190 100866    0    0    0  51.82 
13:34:32  19.1   0.0   5.4  75.5   0.0   10 241166  87376    0    0    0  45.62 
13:34:32  20.3   0.0   5.7  74.1   0.0    7 259148  96830    0    0    0  47.56 
13:34:33  16.3   0.0   5.1  78.6   0.0    7 245200  84156    0    0    0  55.39 
13:34:33  18.1   0.0   4.7  77.1   0.0   21 260896  92568    0    0    0  56.26 
13:34:34  19.3   0.0   4.4  76.3   0.0    5 264332  94150    2    1    0  56.80 
13:34:34  16.7   0.0   3.9  79.4   0.0    6 264858  92646    0    0    0  57.17 
13:34:35  16.8   0.0   4.6  78.5   0.0    5 263186  91700    0    0    2  56.40 
13:34:35  19.2   0.0   4.2  76.7   0.0    9 259086  92232    0    0    0  56.55 
13:34:36  17.7   0.0   4.5  77.8   0.0   11 247848  86432    0    0    0  55.98 
13:34:36  18.9   0.0   4.9  76.2   0.0   15 263026  95426    0    0    0  55.85 
