target,governor,arrival_rate_rps,requests_sec,avg_power_watts,latency_avg_ms,latency_stdev_ms,latency_max_ms,p50_ms,p90_ms,p95_ms,p99_ms,wrk_output,powerstat_output
recommendations,performance,1000,1000.790000,44.48,0.870000,0.262690,4.960000,0.805000,1.090000,1.431000,1.900000,/tmp/hotelReservation-power-sweeps/20260427T182742Z/1000/performance/client/logs/wrk_recommendations_client_1000.log,/tmp/hotelReservation-power-sweeps/20260427T182742Z/1000/performance/server/logs/powerstat_recommendations_performance_1000.log
recommendations,performance,3000,2992.520000,55.12,0.910000,0.318900,6.460000,0.809000,1.320000,1.553000,2.150000,/tmp/hotelReservation-power-sweeps/20260427T182742Z/3000/performance/client/logs/wrk_recommendations_client_3000.log,/tmp/hotelReservation-power-sweeps/20260427T182742Z/3000/performance/server/logs/powerstat_recommendations_performance_3000.log
recommendations,performance,5000,4997.740000,62.48,0.990000,0.361890,4.990000,0.860000,1.500000,1.740000,2.310000,/tmp/hotelReservation-power-sweeps/20260427T182742Z/5000/performance/client/logs/wrk_recommendations_client_5000.log,/tmp/hotelReservation-power-sweeps/20260427T182742Z/5000/performance/server/logs/powerstat_recommendations_performance_5000.log
recommendations,performance,7000,6982.300000,68.34,1.110000,0.447870,6.180000,0.940000,1.710000,2.011000,2.660000,/tmp/hotelReservation-power-sweeps/20260427T182742Z/7000/performance/client/logs/wrk_recommendations_client_7000.log,/tmp/hotelReservation-power-sweeps/20260427T182742Z/7000/performance/server/logs/powerstat_recommendations_performance_7000.log
recommendations,performance,9000,8976.020000,73.25,1.290000,0.565650,9.230000,1.100000,2.040000,2.391000,3.230000,/tmp/hotelReservation-power-sweeps/20260427T182742Z/9000/performance/client/logs/wrk_recommendations_client_9000.log,/tmp/hotelReservation-power-sweeps/20260427T182742Z/9000/performance/server/logs/powerstat_recommendations_performance_9000.log
recommendations,performance,11000,11005.630000,77.67,1.540000,0.714730,11.470000,1.390000,2.470000,2.911000,3.970000,/tmp/hotelReservation-power-sweeps/20260427T182742Z/11000/performance/client/logs/wrk_recommendations_client_11000.log,/tmp/hotelReservation-power-sweeps/20260427T182742Z/11000/performance/server/logs/powerstat_recommendations_performance_11000.log
recommendations,performance,13000,12995.040000,81.83,1.950000,0.970000,16.370000,1.750000,3.150000,3.775000,5.320000,/tmp/hotelReservation-power-sweeps/20260427T182742Z/13000/performance/client/logs/wrk_recommendations_client_13000.log,/tmp/hotelReservation-power-sweeps/20260427T182742Z/13000/performance/server/logs/powerstat_recommendations_performance_13000.log
recommendations,performance,15000,14948.320000,85.03,2.760000,1.530000,36.700000,2.400000,4.580000,5.635000,8.310000,/tmp/hotelReservation-power-sweeps/20260427T182742Z/15000/performance/client/logs/wrk_recommendations_client_15000.log,/tmp/hotelReservation-power-sweeps/20260427T182742Z/15000/performance/server/logs/powerstat_recommendations_performance_15000.log
recommendations,performance,17000,17004.400000,87.00,4.060000,2.520000,45.980000,3.350000,7.100000,8.887000,13.460000,/tmp/hotelReservation-power-sweeps/20260427T182742Z/17000/performance/client/logs/wrk_recommendations_client_17000.log,/tmp/hotelReservation-power-sweeps/20260427T182742Z/17000/performance/server/logs/powerstat_recommendations_performance_17000.log
recommendations,schedutil,1000,997.130000,25.57,1.690000,0.440750,6.730000,1.590000,2.010000,2.667000,3.630000,/tmp/hotelReservation-power-sweeps/20260427T182742Z/1000/schedutil/client/logs/wrk_recommendations_client_1000.log,/tmp/hotelReservation-power-sweeps/20260427T182742Z/1000/schedutil/server/logs/powerstat_recommendations_schedutil_1000.log
