target,governor,arrival_rate_rps,requests_sec,avg_power_watts,latency_avg_ms,latency_stdev_ms,latency_max_ms,p50_ms,p90_ms,p95_ms,p99_ms,wrk_output,powerstat_output
hotels,performance,1000,997.210000,54.94,1.730000,0.463200,8.290000,1.640000,2.110000,2.521000,3.830000,/tmp/hotelReservation-power-sweeps/20260426T124309Z/1000/performance/client/logs/wrk_hotels_client_1000.log,/tmp/hotelReservation-power-sweeps/20260426T124309Z/1000/performance/server/logs/powerstat_hotels_performance_1000.log
hotels,performance,3000,2992.660000,71.48,1.960000,0.518400,9.930000,1.840000,2.610000,2.955000,3.820000,/tmp/hotelReservation-power-sweeps/20260426T124309Z/3000/performance/client/logs/wrk_hotels_client_3000.log,/tmp/hotelReservation-power-sweeps/20260426T124309Z/3000/performance/server/logs/powerstat_hotels_performance_3000.log
hotels,performance,5000,4997.570000,81.86,2.380000,0.777490,12.060000,2.190000,3.360000,3.877000,5.160000,/tmp/hotelReservation-power-sweeps/20260426T124309Z/5000/performance/client/logs/wrk_hotels_client_5000.log,/tmp/hotelReservation-power-sweeps/20260426T124309Z/5000/performance/server/logs/powerstat_hotels_performance_5000.log
hotels,performance,7000,6981.840000,88.70,3.220000,1.330000,24.940000,2.900000,4.850000,5.767000,7.980000,/tmp/hotelReservation-power-sweeps/20260426T124309Z/7000/performance/client/logs/wrk_hotels_client_7000.log,/tmp/hotelReservation-power-sweeps/20260426T124309Z/7000/performance/server/logs/powerstat_hotels_performance_7000.log
hotels,performance,9000,8944.450000,92.26,5.530000,2.980000,54.300000,4.730000,9.230000,11.327000,16.510000,/tmp/hotelReservation-power-sweeps/20260426T124309Z/9000/performance/client/logs/wrk_hotels_client_9000.log,/tmp/hotelReservation-power-sweeps/20260426T124309Z/9000/performance/server/logs/powerstat_hotels_performance_9000.log
hotels,performance,11000,10924.600000,93.99,20.970000,16.970000,251.010000,15.650000,42.110000,54.431000,83.970000,/tmp/hotelReservation-power-sweeps/20260426T124309Z/11000/performance/client/logs/wrk_hotels_client_11000.log,/tmp/hotelReservation-power-sweeps/20260426T124309Z/11000/performance/server/logs/powerstat_hotels_performance_11000.log
hotels,performance,13000,11809.560000,94.09,3540.000000,1620.000000,8740.000000,3480.000000,5750.000000,6209.535000,6940.000000,/tmp/hotelReservation-power-sweeps/20260426T124309Z/13000/performance/client/logs/wrk_hotels_client_13000.log,/tmp/hotelReservation-power-sweeps/20260426T124309Z/13000/performance/server/logs/powerstat_hotels_performance_13000.log
hotels,performance,15000,11837.850000,94.01,8520.000000,3670.000000,16590.000000,8530.000000,13540.000000,14213.119000,15100.000000,/tmp/hotelReservation-power-sweeps/20260426T124309Z/15000/performance/client/logs/wrk_hotels_client_15000.log,/tmp/hotelReservation-power-sweeps/20260426T124309Z/15000/performance/server/logs/powerstat_hotels_performance_15000.log
hotels,performance,17000,11861.820000,93.83,12190.000000,5220.000000,23230.000000,12250.000000,19350.000000,20283.391000,21320.000000,/tmp/hotelReservation-power-sweeps/20260426T124309Z/17000/performance/client/logs/wrk_hotels_client_17000.log,/tmp/hotelReservation-power-sweeps/20260426T124309Z/17000/performance/server/logs/powerstat_hotels_performance_17000.log
hotels,performance,19000,11832.500000,94.09,15200.000000,6520.000000,27560.000000,15240.000000,24180.000000,25296.895000,26380.000000,/tmp/hotelReservation-power-sweeps/20260426T124309Z/19000/performance/client/logs/wrk_hotels_client_19000.log,/tmp/hotelReservation-power-sweeps/20260426T124309Z/19000/performance/server/logs/powerstat_hotels_performance_19000.log
