target,governor,arrival_rate_rps,requests_sec,avg_power_watts,latency_avg_ms,latency_stdev_ms,latency_max_ms,p50_ms,p90_ms,p95_ms,p99_ms,wrk_output,powerstat_output
user,performance,1000,1000.730000,38.85,0.454830,0.126580,2.200000,0.424000,0.616000,0.678000,0.860000,/tmp/hotelReservation-power-sweeps/20260427T192754Z/1000/performance/client/logs/wrk_user_client_1000.log,/tmp/hotelReservation-power-sweeps/20260427T192754Z/1000/performance/server/logs/powerstat_user_performance_1000.log
user,performance,3000,2992.730000,44.59,0.390310,0.143240,3.040000,0.356000,0.545000,0.651000,0.960000,/tmp/hotelReservation-power-sweeps/20260427T192754Z/3000/performance/client/logs/wrk_user_client_3000.log,/tmp/hotelReservation-power-sweeps/20260427T192754Z/3000/performance/server/logs/powerstat_user_performance_3000.log
user,performance,5000,4997.740000,48.45,0.387100,0.166180,4.060000,0.343000,0.551000,0.696000,1.070000,/tmp/hotelReservation-power-sweeps/20260427T192754Z/5000/performance/client/logs/wrk_user_client_5000.log,/tmp/hotelReservation-power-sweeps/20260427T192754Z/5000/performance/server/logs/powerstat_user_performance_5000.log
user,performance,7000,6982.260000,51.01,0.418170,0.199950,8.220000,0.363000,0.613000,0.790000,1.220000,/tmp/hotelReservation-power-sweeps/20260427T192754Z/7000/performance/client/logs/wrk_user_client_7000.log,/tmp/hotelReservation-power-sweeps/20260427T192754Z/7000/performance/server/logs/powerstat_user_performance_7000.log
user,performance,9000,9007.460000,54.28,0.451080,0.230530,6.110000,0.383000,0.696000,0.886000,1.380000,/tmp/hotelReservation-power-sweeps/20260427T192754Z/9000/performance/client/logs/wrk_user_client_9000.log,/tmp/hotelReservation-power-sweeps/20260427T192754Z/9000/performance/server/logs/powerstat_user_performance_9000.log
user,performance,11000,10968.020000,56.96,0.489610,0.248200,4.260000,0.411000,0.784000,0.999000,1.470000,/tmp/hotelReservation-power-sweeps/20260427T192754Z/11000/performance/client/logs/wrk_user_client_11000.log,/tmp/hotelReservation-power-sweeps/20260427T192754Z/11000/performance/server/logs/powerstat_user_performance_11000.log
user,performance,13000,12994.970000,59.55,0.538310,0.292640,6.270000,0.440000,0.900000,1.128000,1.670000,/tmp/hotelReservation-power-sweeps/20260427T192754Z/13000/performance/client/logs/wrk_user_client_13000.log,/tmp/hotelReservation-power-sweeps/20260427T192754Z/13000/performance/server/logs/powerstat_user_performance_13000.log
user,schedutil,1000,997.280000,21.83,0.731070,0.163510,3.630000,0.705000,0.839000,0.901000,1.540000,/tmp/hotelReservation-power-sweeps/20260427T192754Z/1000/schedutil/client/logs/wrk_user_client_1000.log,/tmp/hotelReservation-power-sweeps/20260427T192754Z/1000/schedutil/server/logs/powerstat_user_schedutil_1000.log
user,schedutil,3000,2982.530000,25.43,0.761360,0.270040,4.740000,0.698000,0.920000,1.303000,1.980000,/tmp/hotelReservation-power-sweeps/20260427T192754Z/3000/schedutil/client/logs/wrk_user_client_3000.log,/tmp/hotelReservation-power-sweeps/20260427T192754Z/3000/schedutil/server/logs/powerstat_user_schedutil_3000.log
user,schedutil,5000,4997.740000,27.98,0.850000,0.391340,8.020000,0.738000,1.290000,1.680000,2.510000,/tmp/hotelReservation-power-sweeps/20260427T192754Z/5000/schedutil/client/logs/wrk_user_client_5000.log,/tmp/hotelReservation-power-sweeps/20260427T192754Z/5000/schedutil/server/logs/powerstat_user_schedutil_5000.log
user,schedutil,7000,6982.290000,30.42,0.940000,0.494610,7.570000,0.763000,1.600000,1.974000,2.920000,/tmp/hotelReservation-power-sweeps/20260427T192754Z/7000/schedutil/client/logs/wrk_user_client_7000.log,/tmp/hotelReservation-power-sweeps/20260427T192754Z/7000/schedutil/server/logs/powerstat_user_schedutil_7000.log
user,schedutil,9000,8976.140000,38.35,0.920000,0.530970,8.230000,0.723000,1.600000,2.010000,2.980000,/tmp/hotelReservation-power-sweeps/20260427T192754Z/9000/schedutil/client/logs/wrk_user_client_9000.log,/tmp/hotelReservation-power-sweeps/20260427T192754Z/9000/schedutil/server/logs/powerstat_user_schedutil_9000.log
user,schedutil,11000,11005.700000,43.33,0.880000,0.538490,10.240000,0.678000,1.560000,1.953000,2.940000,/tmp/hotelReservation-power-sweeps/20260427T192754Z/11000/schedutil/client/logs/wrk_user_client_11000.log,/tmp/hotelReservation-power-sweeps/20260427T192754Z/11000/schedutil/server/logs/powerstat_user_schedutil_11000.log
user,schedutil,13000,12994.990000,50.69,0.801070,0.484270,9.130000,0.623000,1.420000,1.768000,2.620000,/tmp/hotelReservation-power-sweeps/20260427T192754Z/13000/schedutil/client/logs/wrk_user_client_13000.log,/tmp/hotelReservation-power-sweeps/20260427T192754Z/13000/schedutil/server/logs/powerstat_user_schedutil_13000.log
